id,question,answer
25,13. What is Dietary Sodium Restriction:,"Restricting dietary sodium is a common nonpharmacological treatment for patients with HF symptomatic with congestion, but specific recommendations have been based on low-quality evidence (7). Concerns about the quality of data regarding clinical benefits or harm of sodium restriction in patients with HF include the lack of current pharmacological therapy, small samples without sufficient racial and ethnic diversity, questions about the correct threshold for clinical benefit, uncertainty about which subgroups benefit most from sodium restriction (7,8), and serious questions about the validity of several RCTs in this area (9–11). However, there are promising pilot trials of sodium restriction in patients with HF (3,5,6). The AHA currently recommends a reduction of sodium intake to &lt;2300 mg/d for general cardiovascular health promotion (12); however, there are no trials to support this level of restriction in patients with HF (13). Sodium restriction can result in poor dietary quality with inadequate macronutrient and micronutrient intake (14). Nutritional inadequacies have been associated with clinical instability (15–17), but routine supplementation of oral iron (18), thiamine (19), zinc (20), vitamin D (21), or multivitamins has not proven beneficial (22). The DASH diet is rich in antioxidants and potassium, can achieve sodium restriction without compromising nutritional adequacy when accompanied by dietary counseling (5), and may be associated with reduced hospitalizations for HF (23)."
26,13. What is Recommendation of Dietary Sodium Restriction:,"Recommendations:
1.A registered dietitian- or nurse-coached intervention with 2 to 3 g/d sodium restriction improved NYHA functional class and leg edema in patients with HFrEF (1). In a nonrandomized study (&gt;2.5 g/d vs &lt;2.5 g/d), lower dietary sodium was associated with worse all-cause mortality in patients with HFrEF (2). In small RCTs, aggressive sodium restriction (0.8 g/d) during hospitalization for acute decompensated HF has not reduced weight, congestion, diuretic use, rehospitalization, or all-cause mortality in patients with HFrEF (24) or in patients with HFpEF (25). A recent pilot RCT (<em>n</em> = 27) showed that providing patients with 1.5 g/d sodium meals can reduce urinary sodium and improve QOL but not improve clinical outcomes (3). Another recent pilot RCT (<em>n</em> = 38) of 1.5 vs 2.3 g/d sodium resulted in sodium intake and improvement in BNP levels and QOL in the 1.5 g/d sodium intake arm (5); the full trial is due to be completed in 2022. A third pilot RCT (<em>n</em> = 66) of home-delivered 1.5 g/d meals showed favorable but nonsignificant trends toward improvement in clinical status and readmission rates (6). Moreover, results from RCTs have shown that reducing dietary sodium is difficult to achieve in patients with HF, even with prepared meals (3) or home visits (26)."
27,"14. What is Management of Stage C HF: Activity, Exercise Prescription, and Cardiac Rehabilitation:","Exercise training in patients with HF is safe and has numerous benefits. In a major trial of exercise and HF, exercise training was associated with a reduction in CVD mortality or hospitalizations in the exercise training group after adjustment for risk factors (1). Meta-analyses show that cardiac rehabilitation improves functional capacity, exercise duration, and health-related QOL. A cardiac rehabilitation program for patients with HF usually includes a medical evaluation, education regarding the importance of medical adherence, dietary recommendations, psychosocial support, and an exercise training and physical activity counseling program. Patients with HF on optimal GDMT, who are in stable medical condition and are able to participate in an exercise program, are candidates for an exercise rehabilitation program (10,11)."
28,"14. What is Recommendation of Management of Stage C HF: Activity, Exercise Prescription, and Cardiac Rehabilitation:","Recommendations:
1.Evidence from RCTs indicates that exercise training improves functional status, exercise performance, and QOL in patients with HFrEF and HFpEF. In HF-ACTION, the largest randomized trial with exercise training in patients with HF (1), 2331 patients with LVEF ≤35% (NYHA class II and III) were randomized to usual care vs supervised exercise training plus usual care. There were modest reductions in all-cause mortality and hospitalization rates that did not reach significance by primary analysis but, after prespecified adjustment, were associated with reductions in cardiovascular mortality or HF hospitalizations (1). Many RCTs of exercise training in HF have been conducted, but the statistical power of most was low (2–5,9–13). Meta-analyses suggest that exercise training is associated with improvement in functional capacity, exercise duration, health-related QOL, and reduction in HF hospitalizations in patients with HFrEF as well as HFpEF (2–6,8,11,14,15). Most studies and meta-analyses have not shown significant changes in all-cause mortality (2,12,14–22), except for a few showing mortality benefit with longer follow-up (6,7). Other benefits of exercise training include improved endothelial function, blunted catecholamine spillover, increased peripheral oxygen extraction, and improvement in peak oxygen consumption (2–5,8,10–12,21).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0071"">2.A formal cardiac rehabilitation program usually includes a medical evaluation, education regarding the importance of medical adherence, dietary recommendations, psychosocial support, and an exercise training and physical activity counseling program. Exercise-based cardiac rehabilitation has been associated with an improvement in functional capacity, exercise tolerance, the rate of overall and HF-specific hospitalization, and improved QOL (3,4,6,7,11,16,17). In a diverse population of older patients who were hospitalized for acute decompensated HF, an early, transitional, tailored, progressive rehabilitation intervention that included multiple physical function domains (strength, balance, mobility, and endurance) initiated during, or early after hospitalization for HF, and continued after discharge, resulted in greater improvement in physical function than usual care (9)."
29,15. What is Diuretics and Decongestion Strategies in Patients With HF:,"Bumetanide, furosemide, and torsemide inhibit reabsorption of sodium or chloride at the loop of Henle, whereas thiazide and thiazide-like diuretics act in the distal convoluting tubule and potassium-sparing diuretics (e.g., spironolactone) in the collecting duct (7,8). Loop diuretics are the preferred diuretic agents for use in most patients with HF. Thiazide diuretics such as chlorthalidone or hydrochlorothiazide may be considered in patients with hypertension and HF and mild fluid retention. Metolazone or chlorothiazide may be added to loop diuretics in patients with refractory edema unresponsive to loop diuretics alone. Diuretics should be prescribed to patients who have evidence of congestion or fluid retention. In any patient with a history of congestion, maintenance diuretics should be considered to avoid recurrent symptoms. The treatment goal of diuretic use is to eliminate clinical evidence of fluid retention, using the lowest dose possible to maintain euvolemia. With the exception of MRAs, the effects of diuretics on morbidity and mortality are uncertain (1–5). As such, diuretics should not be used in isolation but always combined with other GDMT for HF that reduces hospitalizations and prolongs survival. <a href=""#tbl0012"" id=""back-tbl0012"" class=""scroll-into-link"">Table 12</a> lists oral diuretics recommended for use in the treatment of chronic HF. Hyponatremia complicates HF management. If reversing potential causes and free water restriction do not improve hyponatremia, vasopressin antagonists may be helpful in the acute management of volume overload to decrease congestion while maintaining serum sodium.<div class=""floatDisplay""><div id=""tbl0012"" class=""inline-table"" tabindex=""0""><div class=""inline-table__head""><span class=""inline-table__label"">Table 12</span><span class=""inline-table__title"">Commonly Used Oral Diuretics in Treatment of Congestion for Chronic HF</span></div><table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""scrollable bordered"" tabindex=""0""><thead><tr><th class=""rowsep"">Drug</th><th class=""rowsep"">Initial Daily Dose</th><th class=""rowsep"">Maximum Total Daily Dose</th><th class=""rowsep"">Duration of Action</th></tr></thead><tbody><tr><td colspan=""4"" scope=""colgroup""><strong>Loop diuretics</strong></td></tr><tr><td>Bumetanide</td><td>0.5–1.0 mg once or twice</td><td>10 mg</td><td>4–6 h</td></tr><tr><td> Furosemide</td><td>20–40 mg once or twice</td><td>600 mg</td><td>6–8 h</td></tr><tr><td> Torsemide</td><td>10–20 mg once</td><td>200 mg</td><td>12–16 h</td></tr><tr><td colspan=""4"" scope=""colgroup""><strong>Thiazide diuretics</strong></td></tr><tr><td> Chlorthiazide</td><td>250–500 mg once or twice</td><td>1000 mg</td><td>6–12 h</td></tr><tr><td> Chlorthalidone</td><td>12.5–25 mg once</td><td>100 mg</td><td>24–72 h</td></tr><tr><td> Hydrochlorothiazide</td><td>25 mg once or twice</td><td>200 mg</td><td>6–12 h</td></tr><tr><td> Indapamide</td><td>2.5 mg once</td><td>5 mg</td><td>36 h</td></tr><tr><td> Metolazone</td><td>2.5 mg once</td><td>20 mg</td><td>12–24 h</td></tr></tbody></table><div class=""inline-table__tail""><div class=""section-paragraph"">HF indicates heart failure.</div></div><ul class=""rlist--inline separator download-links""><li><a title=""Open Full Table"" class=""table__open__ctrl"" target=""_blank"" href=""/action/showFullTableHTML?isHtml=true&amp;tableId=tbl0012&amp;pii=S1071-9164%2822%2900076-8"">
                            Open table in a new tab
                        </a></li></ul></div></div>"
30,15. What is Recommendation of Diuretics and Decongestion Strategies in Patients With HF:,"Recommendations:
1.Controlled trials with diuretics showed their effects to increase urinary sodium excretion, decrease physical signs of fluid retention, and improve symptoms, QOL, and exercise tolerance (1–5). Recent data from the nonrandomized OPTIMIZE-HF (Organized Program to Initiate Lifesaving Treatment in Hospitalized Patients with Heart Failure) registry revealed reduced 30-day all-cause mortality and hospitalization for HF with diuretic use compared with no diuretic use after hospital discharge for HF (9). The most commonly used loop diuretic for the treatment of HF is furosemide, but some patients respond more favorably to other agents in this category (e.g., bumetanide, torsemide), potentially because of their increased oral bioavailability (10–12). In outpatients with HF, diuretic therapy is commonly initiated with low doses, and the dose is increased until urine output increases and weight decreases, generally by 0.5 to 1.0 kg/d. Patients may become unresponsive to high doses of diuretic drugs if they consume large amounts of dietary sodium, are taking agents that can block the effects of diuretics (e.g., NSAIDs), or have significant impairment of renal function or perfusion.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0073"">2.Diuretic resistance can be overcome in several ways, including escalation of loop diuretic dose, intravenous administration of diuretics (bolus or continuous infusion) (6), or combination of different diuretic classes (13–16). The use of a thiazide or thiazide-like diuretic (e.g., metolazone) in combination with a loop diuretic inhibits compensatory distal tubular sodium reabsorption, leading to enhanced natriuresis. However, in a propensity score–matched analysis in patients with hospitalized HF, the addition of metolazone to loop diuretics was found to increase the risk for hypokalemia, hyponatremia, worsening renal function, and mortality, whereas use of higher doses of loop diuretics was not found to adversely affect survival (17). Although randomized data comparing the 2 diuretic strategies are limited, the DOSE (Diuretic Optimization Strategies Evaluation) trial lends support for the use of high-dose intravenous loop diuretics (18)."
31,16. What is Pharmacological Treatment* for HFrEF:,"Inhibition of the renin–angiotensin system is recommended to reduce morbidity and mortality for patients with HFrEF, and ARNi, ACEi, or ARB are recommended as first-line therapy (1–18). If patients have chronic symptomatic HFrEF with NYHA class II or III symptoms and they tolerate an ACEi or ARB, they should be switched to an ARNi because of improvement in morbidity and mortality (1–5). An ARNi is recommended as de novo treatment in hospitalized patients with acute HF before discharge given improvement in health status, reduction in the prognostic biomarker NT-proBNP, and improvement of LV remodeling parameters compared with ACEi/ARB. Although data are limited, the use of an ARNi may be efficacious as de novo treatment in patients with symptomatic chronic HFrEF to simplify management. ARB may be used as an alternative to ACEi in the setting of intolerable cough, or as alternatives to ACEi and ARNi in patients with a history of angioedema. If patients are switched from an ACEi to an ARNi or vice versa, there should be at least 36 hours between ACEi and ARNi doses."
32,16. What is Recommendation of Pharmacological Treatment* for HFrEF:,"Recommendations:
1.An ARNi is composed of an ARB and an inhibitor of neprilysin, an enzyme that degrades natriuretic peptides, bradykinin, adrenomedullin, and other vasoactive peptides. In PARADIGM-HF (Prospective Comparison of ARNi with ACEi to Determine Impact on Global Mortality and Morbidity in Heart Failure), an RCT that compared the first approved ARNi, sacubitril-valsartan, with enalapril in symptomatic patients with HFrEF tolerating an adequate dose of either ACEi or ARB, sacubitril-valsartan significantly reduced the composite endpoint of cardiovascular death or HF hospitalization by 20% relative to enalapril (1). The benefit was observed to a similar extent for death and HF hospitalization and was consistent across prespecified subgroups (1). Use of an ARNi is more frequently associated with symptomatic hypotension and a comparable incidence of angioedema when compared with enalapril (1). Sacubitril-valsartan has been approved for patients with symptomatic HF. HF effects and potential off-target effects may be complex with inhibition of the neprilysin enzyme, which has multiple biological targets. Trial data have included ACEi/ARB–naïve patients before ARNi initiation (53% in the PIONEER-HF [Comparison of Sacubitril-Valsartan versus Enalapril on Effect on NT-proBNP in Patients Stabilized from an Acute Heart Failure Episode] trial and 24% in the TRANSITION [Comparison of Pre- and Post-discharge Initiation of Sacubitril/Valsartan Therapy in HFrEF Patients After an Acute Decompensation Event] trial) and have shown similar efficacy and safety in treatment-naïve patients (2,3). The PIONEER-HF trial showed that ARNi reduced NT-proBNP levels in patients hospitalized for acute decompensated HF without increased rates of adverse events (worsening renal function, hyperkalemia, symptomatic hypotension, angioedema) when compared with enalapril (3). Additional outcome analyses suggested reduction in all-cause mortality and rehospitalization for HF, but were only hypothesis-generating as exploratory study endpoints. In the open-label TRANSITION trial, patients with HFrEF hospitalized with worsening HF were randomized to start ARNi either before or after discharge (2). Safety outcomes were similar for both arms, suggesting that early initiation may simplify management (rather than initiating and uptitrating ACEi first and then switching to ARNi) (2). ARNi should be initiated de novo in patients hospitalized with acute HFrEF before discharge in the absence of contraindications. ARNi may be initiated de novo in patients with chronic symptomatic HFrEF to simplify management, although data are limited. The PARADISE-MI (Prospective ARNi vs ACE Inhibitor Trial to DetermIne Superiority in Reducing Heart Failure Events After MI) trial (40) will provide information on whether sacubitril-valsartan will significantly reduce the rate of cardiovascular death, HF hospitalization or outpatient HF requiring treatment in patients after acute MI, with LVEF ≤40% and/or pulmonary congestion, and 1 of 8 additional risk-enhancing factors like AF, previous MI, diabetes, compared with the ACEi ramipril; and whether the safety and tolerability of sacubitril-valsartan was comparable to that of ramipril. Thus, at the present time, the efficacy of ARNi in patients with LV dysfunction, and HF in the early post-MI period, remains uncertain.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0075"">2.ACEi reduce morbidity and mortality in HFrEF. RCTs clearly establish the benefits of ACE inhibition in patients with mild, moderate, or severe symptoms of HF and in patients with or without CAD (6–11). Data suggest that there are no differences among available ACEi in their effects on symptoms or survival (12). ACEi should be started at low doses and titrated upward to doses shown to reduce the risk of cardiovascular events in clinical trials. ACEi can produce angioedema and should be given with caution to patients with low systemic blood pressures, renal insufficiency, or elevated serum potassium (&gt;5.0 mEq/L). If maximal doses are not tolerated, intermediate doses should be tried; abrupt withdrawal of ACE inhibition can lead to clinical deterioration and should be avoided. Although the use of an ARNi in lieu of an ACEi for HFrEF has been found to be superior, for those patients for whom ARNi is inappropriate, continued use of an ACEi for all classes of HFrEF remains strongly advised.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0076"">3.ARB have been shown to reduce mortality and HF hospitalizations in patients with HFrEF in large RCTs (14–16). Long-term treatment with ARB in patients with HFrEF produces hemodynamic, neurohormonal, and clinical effects consistent with those expected after interference with the renin-angiotensin system (17,18). Unlike ACEi, ARB do not inhibit kininase and are associated with a much lower incidence of cough and angioedema, although kininase inhibition by ACEi may produce beneficial vasodilatory effects. Patients who are intolerant to ACEi because of cough or angioedema should be started on an ARB. ARB should be started at low doses and titrated upward, with an attempt to use doses shown to reduce the risk of cardiovascular events in clinical trials. ARB should be given with caution to patients with low systemic blood pressure, renal insufficiency, or elevated serum potassium (&gt;5.0 mEq/L). Although ARB are alternatives for patients with ACEi-induced angioedema, caution is advised because some patients have also developed angioedema with ARB. For those patients for whom an ACEi or ARNi is inappropriate, use of an ARB remains advised.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0077"">4.Several cost-effectiveness analyses consistently found that ACEi therapy provides high value for patients with chronic HF. A model-based analysis, using generic ACEi costs, found ACEi therapy was high value (19). Previous analyses also found ACEi therapy was high value despite previously higher ACEi costs (19,21,22,24,25). This includes a trial-based analysis of SOLVD (Studies of Left Ventricular Dysfunction) that modeled long-term outcomes (21). Previous analyses included a range of clinical scenarios including asymptomatic LV dysfunction (24) and LV dysfunction after MI (25), with ACEi therapy providing high value in each. There are limited data on the cost-effectiveness of ARBs from 2 clinical trials—a within-trial analysis of Val-HeFT (Valsartan Heart Failure Trial) (23) and an analysis of the ELITE (Evaluation of Losartan in the Elderly) study (20)—which both suggested ARB therapy is high value. The high value of ARB therapy is also supported by its similar efficacy as ACEi therapy and the low-cost generic availability for both medication classes.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0078"">5.Patients with chronic stable HFrEF who tolerate ACEi and ARB should be switched to ARNi. In patients with mild-to-moderate HF who were able to tolerate both a target dose of enalapril (10 mg twice daily) and then subsequently an ARNi (sacubitril-valsartan; 200 mg twice daily, with the ARB component equivalent to valsartan 160 mg), hospitalizations and mortality were significantly decreased with the valsartan-sacubitril compound compared with enalapril (1). Another RCT and meta-analysis showed improvement in LV remodeling parameters with ARNi compared with enalapril (4,5).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0079"">6.Multiple model-based analyses evaluated the economic value of ARNi therapy compared with ACEi therapy using the results of PARADIGM-HF (26–29,41). Three high-quality analyses (26,28,29) consistently found costs per QALY &lt;$60,000, which provides high value according to the benchmarks adopted for the current clinical practice guideline. These results were robust to the range of sacubitril-valsartan costs currently seen in care. These results were sensitive to the estimated mortality reduction and duration of treatment effectiveness. ARNi would need to maintain effectiveness beyond the PARADIGM-HF study period (mean, 27 months) to be considered high value (29). If clinical benefit were limited to 27 months, ARNi would be intermediate value. One additional analysis, based on the PIONEER-HF trial, found that inpatient initiation of ARNi was also high value compared with delayed initiation postdischarge (27).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0080"">7.Oral neprilysin inhibitors, used in combination with ACEi, can lead to angioedema, and concomitant use is contraindicated and should be avoided. A medication that represented a neprilysin inhibitor and an ACEi—omapatrilat—was studied in hypertension and HF, but its development was terminated because of an unacceptable incidence of angioedema (30,31) and associated significant morbidity. This adverse effect was thought to occur because ACEi and neprilysin break down bradykinin, which can directly or indirectly cause angioedema (31,32). An ARNi should not be administered within 36 hours of switching from or to an ACEi.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0081"">8.Omapatrilat, a neprilysin inhibitor (as well as an ACEi and aminopeptidase P inhibitor), was associated with a higher frequency of angioedema than that seen with enalapril in an RCT of patients with HFrEF (30). In a very large RCT of hypertensive patients, omapatrilat was associated with a 3-fold increased risk of angioedema compared with enalapril (31). Black patients and patients who smoked were particularly at risk. The high incidence of angioedema ultimately led to cessation of the clinical development of omapatrilat (33,34). Because of these observations, angioedema was an exclusion criterion in the first large trial assessing ARNi therapy in patients with hypertension (35) and then in the large trial that showed clinical benefit of ARNi therapy in HFrEF (1). The rates of angioedema were numerically higher in patients treated with ARNi than in patients treated with ACEi in PARADIGM-HF, although this difference did not reach significance (1). ARNi therapy should not be administered in patients with a history of angioedema because of the concern that it will increase the risk of a recurrence of angioedema.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0082"">9.Angioedema attributable to ACEi is thought to result from defective degradation of the vasoactive peptides bradykinin, des-Arg9-BK (a metabolite of bradykinin), and substance P (36,37). ACEi should not be administered to patients with any history of angioedema, but ARB do not interfere as directly with bradykinin metabolism and have been associated with low rates of angioedema (38,39)."
33,17. What is Beta Blockers:,"Treatment with beta blockers reduces the risk of death and the combined risk of death or hospitalization in patients with HFrEF (1–3). In addition, this treatment can improve LVEF, lessen the symptoms of HF, and improve clinical status (1–3,9–11). Clinical trials have shown that beta blockers should be prescribed to all patients when HFrEF is diagnosed, including in-hospital, unless contraindicated or not tolerated (1–3,9–11). These benefits of beta blockers were observed in patients with or without CAD, and in patients with or without diabetes, older patients, as well as in women and across racial and ethnic groups but not in patients with AF (1–3,10–12). Even if symptoms do not improve, long-term treatment should be maintained to reduce the risk of major cardiovascular events. Beta blockers should be initiated at low doses, and every effort should be made to achieve the target doses of the beta blockers shown to be effective in major clinical trials, as tolerated (1–3,9,10) (see <a href=""#sec0051"" class=""scroll-into-link"">Section 7.3.8</a>, “GDMT Dosing, Sequencing and Uptitration”)."
34,17. What is Recommendation of Beta Blockers:,"Recommendations:
1.Three beta blockers have been shown to be effective in reducing the risk of death in patients with HFrEF: bisoprolol, sustained-release metoprolol (succinate), and carvedilol (1–3). The favorable findings with these 3 agents, however, should not be considered a beta blocker class effect in HFrEF. Other beta blockers are not included in this recommendation for use (13–15). Even when asymptomatic, or when symptoms are mild or improve with other therapies, beta blocker therapy is important and should not be delayed until symptoms return or disease progression is documented (16). Data show that beta blockers can be safely initiated before hospital discharge, provided patients are clinically stabilized and do not require intravenous inotropic therapy for HF (17). If a contraindication or intolerance are noted, they should be documented, and the patient restarted on beta blocker therapy in the future, so long as an absolute contraindication is not present. Even if symptoms or LVEF improve, long-term treatment with beta blockers and use of target doses should be maintained to reduce the risk of progression in LV dysfunction or major cardiovascular events (18,19). Abrupt withdrawal of beta blocker therapy can lead to clinical deterioration and should be avoided unless indicated (18).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0084"">2.Multiple analyses have shown the high value of beta blocker therapy among HF patients. A model-based analysis, using generic beta blocker costs, found beta blocker therapy was high value (4). These results were consistent with earlier model-based cost-effectiveness analyses (5–7) and a trial-based economic analysis of the U.S. Carvedilol Heart Failure (CHF) Trials Program (8). Each of these studies also found treatment with a beta blocker was high value despite using previously higher beta blocker costs."
35,18. What is Mineralocorticoid Receptor Antagonists (MRAs):,"MRA (also known as aldosterone antagonists or anti-mineralocorticoids) show consistent improvements in all-cause mortality, HF hospitalizations, and SCD across a wide range of patients with HFrEF (1–3). Patients at risk for renal dysfunction or hyperkalemia require close monitoring, and eGFR ≤30 mL/min/1.73 m<sup>2</sup> or serum potassium ≥5.0 mEq/L are contraindications to MRA initiation (10,11). Because of the higher selectivity of eplerenone for the aldosterone receptor, adverse effects such as gynecomastia and vaginal bleeding are observed less often in patients who take eplerenone than in those who take spironolactone."
36,18. What is Recommendation of Mineralocorticoid Receptor Antagonists (MRAs):,"Recommendations:
1.Clinical trials taken on MRA together—RALES (Randomized Aldactone Evaluation Study) (1) randomized highly symptomatic patients with LVEF ≤35%; EPHESUS (Eplerenone Post–Acute Myocardial Infarction Heart Failure Efficacy and Survival Study) (2) randomized patients post-MI with LVEF ≤40%; and EMPHASIS-HF (Eplerenone in Mild Patients Hospitalization and Survival Study in Heart Failure) (3) randomized patients with mild symptoms and LVEF ≤30%—suggest a benefit of MRA across the spectrum of HFrEF, inclusive of a wide range of etiologies and disease severities. Initiation in the ambulatory or hospital setting is appropriate (12). The starting dose of spironolactone and eplerenone is 25 mg orally daily, increased to 50 mg/d orally after a month; for eGFR 31 to 49 mL/min/1.73 m<sup>2</sup>, dosing should be reduced by one-half. Regular checks of serum potassium levels and renal function should be performed according to clinical status, approximately 1 week, then 4 weeks, then every 6 months after initiating or intensifying MRA, with more frequent testing for clinical instability. We elected to remove the 2013 recommendation “Aldosterone receptor antagonists are recommended to reduce morbidity and mortality following an acute MI in patients who have LVEF of 40% or less who develop symptoms of HF or who have a history of diabetes mellitus, unless contraindicated” because the new recommendation covers the spectrum of symptomatic patients with HF.<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0086"">2.The economic value of MRA therapy was assessed by both RCTs (RALES [5] and EPHESUS [6,7]) and a model-based analysis (4). The model-based analysis used generic MRA costs and found therapy was high value with a cost per QALY of &lt;$1000 (4). The earlier trial-based economic analyses of MRAs from RALES and EPHESUS also found MRA therapy was high value despite using previously higher MRA costs (5–7).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0087"">3.Spironolactone and eplerenone are partially excreted through the kidneys, raising concerns about safety when eGFR is ≤30 mL/min/1.73 m<sup>2</sup> (10,11). Spironolactone and eplerenone decrease renal potassium excretion, raising the risk of hyperkalemia, particularly when MRA is initiated at serum potassium ≥5.0 mEq/L and continued ≥5.5 mEq/L. The incidence of clinically significant hyperkalemia events was &lt;1% in EPHESUS and EMPHASIS-HF, without a significant difference between eplerenone and placebo (2,3); however, in the closely monitored setting of a RCT with enrollment of younger patients with fewer multiple chronic conditions than seen in the general HFrEF population, safety may be overstated. Observational data have raised concerns about less favorable outcomes of MRA use for HFrEF during usual care (8,9). Coadministration of MRA with ACEi or ARB mildly increases the risk of hyperkalemia. Hyperkalemia risk was lower with ARNi in patients with chronic HF in the PARADIGM-HF trial (13) but not different in patients with HF who were decompensated in the PIONEER-HF trial (14) when compared with ACEi. Diarrhea causing dehydration or loop diuretic therapy interruption, because of worsening renal function or hyperkalemia, should be a consideration for temporarily holding the MRA. The development of worsening renal function or hyperkalemia is often a reflection of acute clinical change or progressive disease, prompting careful evaluation of the entire medical regimen and other causes of hyperkalemia, in addition to holding the MRA. The efficacy of the use of potassium binders (e.g., patiromer, sodium zirconium cyclosilicate) to improve outcomes by facilitating continuation of MRA is uncertain (15,16) and is addressed in <a href=""#sec0049"" class=""scroll-into-link"">Section 7.3.6</a>, “Other Drug Treatment.”"
37,19. What is Sodium-Glucose Cotransporter 2 Inhibitors:,"Several RCTs in patients with type 2 diabetes and either established CVD or high risk for CVD have shown that SGLT2i prevent HF hospitalizations compared with placebo (5–7). The overall 31% reduction in HF hospitalizations was noted irrespective of the presence or absence of preexisting HF, although only 10% to 14% of participants had HF at baseline. The benefit appears independent of the glucose-lowering effects (8). Therefore, several trials were launched to examine the efficacy of SGLT2i on outcomes in patients with HF, irrespective of the presence of type 2 diabetes. The DAPA-HF (Dapagliflozin and Prevention of Adverse Outcomes in Heart Failure) trial and EMPEROR-Reduced (EMPagliflozin outcomE tRial in Patients With chrOnic heaRt Failure With Reduced Ejection Fraction) showed the benefit of SGLT2i (dapagliflozin and empagliflozin, respectively) vs placebo on outcomes (median follow-up, 16–18 months) (1,2). Patients enrolled had symptomatic chronic HFrEF (LVEF ≤40%, NYHA class II–IV, and elevated natriuretic peptides) and were already on GDMT. Important exclusions were eGFR &lt;20 (EMPEROR-Reduced) or &lt;30 mL/min/1.73 m<sup>2</sup> (DAPA-HF), type 1 diabetes, or lower SBP &lt;95 to 100 mm Hg."
38,19. What is Recommendation of Sodium-Glucose Cotransporter 2 Inhibitors:,"Recommendations:
1.In the DAPA-HF and EMPEROR-Reduced trials, SGLT2i compared with placebo reduced the composite of cardiovascular death or HF hospitalization by approximately 25% (1,2,9). The benefit in reduction of HF hospitalization was greater (30%) in both trials (9). Risk of cardiovascular death was significantly lowered (18%) with dapagliflozin, as was risk of all-cause mortality (17%). Although no significant cardiovascular mortality benefit was observed with empagliflozin in a meta-analysis of DAPA-HF and EMPEROR-Reduced trials, SGLT2i therapy was associated with a reduction in all-cause mortality and cardiovascular death (9). The benefits in both trials were seen irrespective of baseline diabetes status. Furthermore, serious renal outcomes were less frequent, and the rate of decline in eGFR was slower in patients treated with SGLT2i (1,2,9). In the SOLOIST-WHF (Effect of Sotagliflozin on Cardiovascular Events in Patients With Type 2 Diabetes And Worsening Heart Failure) trial, patients with diabetes and HF hospitalization (79%: LVEF, &lt;50%) were enrolled before discharge or within 3 days of discharge. Sotagliflozin, a dual inhibitor of sodium-glucose co-transporters 1 and 2, reduced the combined endpoint of cardiovascular death, HF hospitalization, or urgent HF visits by 33% (10), but has not been approved by the U.S. Food and Drug Administration (FDA) as of 2021. Although SGLT2i increased risk for genital infections, they were otherwise well-tolerated in the trials. As the use of SGLT2i is translated into clinical practice, caution is warranted for euglycemic ketoacidosis, genital and soft tissue infections, and adjustment of diuretics, if needed, to prevent volume depletion (11).<li class=""ce-list--remove-bullets__list-item"" id=""celistitem0089"">2.Two model-based analyses evaluated the economic value of dapagliflozin therapy compared with usual care based on the results of the DAPA-HF trial (3,4). Both analyses found costs per QALY between $60,000 and $90,000, which is consistent with intermediate value according to the benchmarks adopted for the current guideline. The results were most sensitive to the magnitude of cardiovascular mortality reduction, with a ≥8% reduction in cardiovascular mortality necessary for a cost per QALY below $150,000 in 1 study (3). There are a wide range of costs currently seen with dapagliflozin. These 2 analyses estimated a cost per QALY of &lt;$50,000 with annual dapagliflozin costs of $3240 (43% reduction from main analysis) and $2500 (a 40% reduction from main analysis), respectively (3,4). A smaller reduction in drug cost would lead to a cost per QALY of &lt;$60,000, the threshold for high value in this guideline."
39,20. What is Hydralazine and Isosorbide Dinitrate:,"Two RCTs, V-HeFT I (Vasodilator Heart Failure Trial) and A-HeFT (African-American Heart Failure Trial), established benefit of the combination of hydralazine-isosorbide dinitrate in self-identified African Americans (2,4). A-HeFT was terminated early because of evidence of remarkable benefit, but the result is vulnerable to a small number of events and the exigencies of early cessation of RCTs (2). The benefit in both trials was seen only at doses achieved in those trials that are higher than doses typically used in clinical practice and with short-acting nitrate therapy (2,4). Uptake of this regimen has been modest as a result of the complexity of the medical regimen and the array of drug-related adverse effects (5). Even when prescribed, there is marked underusage based on very low prescription refill rates. Race-based medical therapy remains a challenging issue, as well, with ongoing research now focused on biological hypotheses, particularly absence of European ancestry, which may be associated with responsiveness to this combination. There are insufficient data to guide the use of hydralazine-isosorbide dinitrate with ARNi. In patients with HFrEF who cannot receive first-line agents such as ARNi, ACEi, or ARB, referral to a HF specialist can provide guidance for further management because the use of hydralazine and isosorbide dinitrate in these patients is uncertain."
